computer science,c100000
computer aopplication,c100109
computer mathematics statistics,c100110
computer aplli,c100111
computer related,c100112
honors computer application,c100113
it lateral entry,c100114
information technolody,c100115
computer science entry,c100116
as per univ,c100117
foc cpcde dbms data structure net c and and c dtp,c100118
digital electronics pc soware computer programming computer architecture and systems graphics and internet dbms statics numerical methods and algorithms unix and shell programming windows programming multimedia and e commerce,c100119
sub,c100120
it computer,c100121
computer related subjects,c100122
cs lateral entry,c100123
bachelors computer application,c100124
hons computer application,c100125
mpcs,c100126
applications,c100127
computer subject,c100128
computer aoolication,c100129
as syllabus,c100130
plain,c100131
computer subjects,c100132
ict,c100133
dca,c100134
computer physcis mathematics hindi and english,c100135
batchler computer,c100136
ne2rking,c100137
educational information technology,c100138
vocational,c100139
pgdca jan,c100140
computer s,c100141
soware engineering,c100142
computer apllication,c100143
general subjects,c100144
csle,c100145
10 and 2,c100146
saurashtra university,c100147
add on course web designing,c100148
capp,c100149
information technology lateral entry,c100150
computer application shiii,c100151
pgdca sub,c100152
fundamental pc package access it trends dtp internet webpage design,c100153
computer application applicatinns,c100154
computer science g course,c100155
pc application,c100156
soware developement,c100157
copmuter,c100158
computer paper,c100159
old with credits distance education,c100160
principal management,c100161
coputer,c100162
becholer computer application,c100163
eng and tec,c100164
non medical,c100165
it sub,c100166
pgdcs and a,c100167
saurashtra,c100168
computer science and it,c100169
discipline 12th,c100170
c language dbms ne2rking pci photoshop visual basic fundamental etc,c100171
pgdtm,c100172
pgdca jul,c100173
ca and it,c100174
computer apllications,c100175
animation,c100176
fundamental pc pacakge english social science digital dbms advance c dtp hindi ds oracle c and and math english tally ipos java science science php linux e commerce,c100177
bcca,c100178
it and computer application,c100179
computer computer application,c100180
pgdca july,c100181
computer application 60 each,c100182
dca jul,c100183
computer aflication,c100184
arts,c100185
post graduation computer application,c100186
dca/pgdca,c100187
cpmputer,c100188
computer application siii,c100189
computer application pgdca,c100190
mpc,c100191
computer and it,c100192
pgdca computer application,c100193
mathematics,c100194
tecnical,c100195
cyber security,c100196
computer sacience,c100197
computer and application,c100198
101 104 bm 101 193 194 201 203 hu201 hu291 bca293 301 303 bm301 bba301 bca392 393 401 403 bm401 hu401 bca491 bm491 501 503 e501a/b/c hu501 bca591 593 e601 a/b/c e602 a/b/c bca693 695,c100199
computer application science,c100200
computer fundamentals pc package foxpro/ access it trends and technology internet and webpage design dtp/coreldraw,c100201
cs and msby research cl,c100202
cs and it,c100203
clerk,c100204
computer education,c100205
and msby research ece,c100206
degree,c100207
bca46,c100208
couputer,c100209
computer allpication,c100210
pgdcsa,c100211
cs and msby research exact humanities,c100212
incs and msby research cns,c100213
managment,c100214
bacheleor computer application,c100215
civil engineering and msby research building science and engineering,c100216
computer application mathematics and statistics,c100217
computer application evening,c100218
dca jan,c100219
mgt science,c100220
kannada,c100221
itc coa math operating system,c100222
post graduate diplomai computer application,c100223
prescribed syllabus university,c100224
computer fundamental,c100225
computer hardware and ne2rking,c100226
pg dca,c100227
computer hardware,c100228
discipline graduation,c100229
analytics and big data,c100230
sau uni,c100231
comuter,c100232
computer ad,c100233
computer allication,c100234
webdesigning,c100235
math c language funfamantel c and and digital envirment communication,c100236
mangement,c100237
maganebt siceb,c100238
maintain,c100239
pgdchn,c100240
computer application mathematics,c100241
c and graphics,c100242
1 fundamental 2pc package 3 operating system 4 foxpro 5vb net 6 c and and 7 sad 8 internet e commerce,c100243
bcai,c100244
mscs,c100245
hons,c100246
fundamental pc package oprating system fox pro sad vb net c and and internet e commerce,c100247
dca pgdca,c100248
iii,c100249
system analysist,c100250
as per syllabus,c100251
computer course,c100252
add on course computer application,c100253
computer application with accountancy,c100254
computer application additional,c100255
apgdca,c100256
computer aided accounting,c100257
bscit,c100258
day,c100259
postgraduat computer application,c100260
computer basic computer application education for,c100261
fundamatel c and and operating system communication,c100262
b science,c100263
accounts,c100264
cca,c100265
computer science and computer application,c100266
self financing,c100267
maintenance and repairing audio video equipments,c100268
management science,c100269
computer fundamentals operating system pc package foxpro/ acess system analysis and design dotnet visual basic internet and ecommerce c and and /financial accounting tally,c100270
electrical house wiring,c100271
3 years,c100272
science computer application,c100273
graduate,c100274
computer fundamentals and internet applications,c100275
repair and maintenance refrigerator and air conditi1r,c100276
or and ca,c100277
automation and multimedia tech,c100278
com science,c100279
graphic designing,c100280
mathematics physcis cs,c100281
desktop publishing,c100282
computer science and applicaions,c100283
maintenance and repairing electronic domestic apliances,c100284
couse,c100285
dca language technology,c100286
soware testing,c100287
business and technical communication/principles and practice accounting/gnu/linux lab*,c100288
welding and cutting,c100289
proffesional,c100290
e and cm,c100291
foc c c and and os dbms ne2rking info system know management,c100292
computer and management,c100293
computer fundamental principals mangmnt business communication principals programming language c mathematics,c100294
computer ne2rking,c100295
allsubject,c100296
computer ne2rks,c100297
bacholor computer application,c100298
syllabus,c100299
digital electronics c language mathematics bsappl pc s/w vbvb net sql eng c and and graphuics and internet o/s etc,c100300
computer program,c100301
ecommerce,c100302
photo designing,c100303
hardware and maintenance,c100304
itc lang basic mathematics business comm pc soware de bbms web tech i bom osse web tech ii visual basic internet and e com,c100305
mobile ph1 repairing,c100306
comuter science,c100307
dca july,c100308
it and eommerce,c100309
prof,c100310
special,c100311
surashtra,c100312
mathematics with computer application,c100313
as per university syllabus,c100314
commputer science,c100315
fundamental pc package comunicative english programing social science i digital electronics dbms advanced c dtp c hindi ds dbms and oracle c and and mathematics c english iicn sad vb net ip tally os c and and java science soc ii php linux e commerce,c100316
desk top publishing,c100317
comupter,c100318
dca july session,c100319
arts science and commerce,c100320
/dca/pgdca,c100321
computer fundamental and office automation programming principle and algorithm principle management business communication mathematics 1 com lab and pract work programming principle and algorithm c programming digital electronics and computer organization,c100322
computer application dca,c100323
with credits distance education,c100324
it and computer center,c100325
as per university sllybus,c100326
prgramming,c100327
course init and computer basics,c100328
computer seience,c100329
first,c100330
it and com,c100331
computer application part time,c100332
itc math account,c100333
ug04,c100334
accountancy,c100335
computer sicence,c100336
good,c100337
fundamental pc package access operating system,c100338
comouter,c100339
computer engineering 017,c100340
vocational course,c100341
computer application on,c100342
finanacial account computer fundamental c programme englishc and and pbm html bc,c100343
10 and 2 and 3,c100344
database,c100345
itm,c100346
urdu,c100347
mathematics and computer science,c100348
c030,c100349
fundamental access package os sad vb net c and and e commerce tally,c100350
fundamentals computer,c100351
computer aplications,c100352
part iii iii,c100353
pgcda,c100354
cmputer,c100355
computer administration,c100356
comerce,c100357
managment science,c100358
c c and and adbms,c100359
dca january session,c100360
bachlor computer application,c100361
mathematics with ca,c100362
fundamental package c socialscience english dtp digital hindi advance c dbms ds dbmsoracle c and and math english2 cn sad vb internet multimedia java net os science social webdevlopment linus pm ecomrce project,c100363
computer r application,c100364
computer application shii,c100365
subjecte,c100366
introduction to programming ci introduction to computer and information technology mathematics foundation computer science communication skills punjabi/basic punjabi principles digital electronics numerical methods and statistical tech and etc,c100367
manegement,c100368
computer science with specialization socomputer,c100369
electronics and communication,c100370
it/cs,c100371
anual science,c100372
human computer and artificial intelligence,c100373
java prg,c100374
pgdca july session,c100375
computer application and le,c100376
itc java soware eng dbms html dcn,c100377
commerce and computer,c100378
commerc,c100379
bcaii,c100380
eng sad sys s/w java web desg using html and dhtml e com os s/w eng web desg using asp net discrete mathematics csoa c and and rdbms punjabi itcoa c/n mis comsm ordbms de mathematics foundation computer science data stucture vb,c100381
it@ computer,c100382
job oriented,c100383
pgdcp,c100384
computer fundamental and internet application,c100385
computer le,c100386
c c and and java vb and and debecf math i math ii eng coa idms os p and s dpfs nafp cg unix dccn it and a i oopc and and acct dbs it and a ii cg and t tdp and s vwp isd and i masenp project practical inprogram c c and and etc,c100387
nil,c100388
al computer,c100389
/ it,c100390
arts/commerce/ science,c100391
java c and ,c100392
bachelor computer,c100393
computer aaplication,c100394
profesnnal,c100395
computer fundamental pc soware oops using c c and and data communication and ne2rk system analysis and desigen rdbms,c100396
hardware and servicing,c100397
science commerce,c100398
post graduation on computer application,c100399
cloud technology and information security management,c100400
ist honours,c100401
c c and and java,c100402
bacholar computer application,c100403
cyber forensic,c100404
computer application a,c100405
model iii,c100406
privet,c100407
12th,c100408
pgdc,c100409
pgdca january session,c100410
data analytics and cloud computer,c100411
industrial science with credits distance education,c100412
tech itms,c100413
according to jnvu jodhpur syllabus,c100414
computer science and technology,c100415
it ,c100416
simulation and modelling,c100417
mang science,c100418
pgdca and om,c100419
1 fundamental 2pc package 3c programming 4 social science 5 english,c100420
computer science management accountancy,c100421
dca and pgdca,c100422
mecs,c100423
com mgt,c100424
information systems management,c100425
computer fc,c100426
commrce,c100427
computer programming applications,c100428
computer honors,c100429
informatics and language engineering,c100430
as per universit,c100431
vocational information technology,c100432
m phil computer science,c100433
computer fundamental pcsoware internet dtp work operating system programming inc,c100434
computer science commerce,c100435
dcme,c100436
computer hardware and ne2rk management,c100437
ne2rk infrastructure management,c100438
mobile communication,c100439
bachelor com,c100440
omputer application,c100441
model ii,c100442
pgdsp,c100443
other,c100444
fundamental access package it trend inter dtp,c100445
information it,c100446
computer application cosmetology,c100447
digital forensics and information assurance,c100448
information communication,c100449
computer technlogy,c100450
other science,c100451
dhn,c100452
research,c100453
information tech,c100454
business process outsourcing,c100455
information techonology,c100456
data care management,c100457
internet studies,c100458
computer hardware enginnering,c100459
computer aided design,c100460
computer science lateral entry,c100461
computer science and information technology,c100462
information technology technology,c100463
computer programming,c100464
computer mathematics,c100465
digital publishing,c100466
graduation,c100467
web designing,c100468
web desiging,c100469
math,c100470
visual communication,c100471
science information technology,c100472
bit,c100473
mathematics electronics and computer science,c100474
hons information technology,c100475
computer science technology,c100476
info tech,c100477
sybscit,c100478
infrastructure management services,c100479
hardware and ne2rking,c100480
3y it and computer engineering augn,c100481
computer science ,c100482
office assistanit and computer operator,c100483
electronics,c100484
science science,c100485
ism,c100486
major,c100487
economics,c100488
information technologyscience,c100489
computer soware technology,c100490
information tecnology,c100491
honors,c100492
soware systems 5 yrs,c100493
latex,c100494
msccs,c100495
add on course adv web design,c100496
pgddd and t,c100497
csm,c100498
soware development,c100499
mathematics computer science,c100500
computer science and appl,c100501
science computer science,c100502
data structure,c100503
and cyber security,c100504
le/computer,c100505
computer science le,c100506
adca,c100507
computer science part time,c100508
commputer,c100509
/computer,c100510
new media technology,c100511
computer lateral entry,c100512
computer science 2nd year 3rd year course,c100513
robotics,c100514
computer science for chinese,c100515
soware systems,c100516
dma,c100517
m science,c100518
bs computer science cloud computer and big data,c100519
ocmputer science,c100520
mathematics with computer,c100521
itcs,c100522
computer science self financing,c100523
mathematics phy che computer,c100524
web designing and office automation evening,c100525
engineering it,c100526
computer science addl,c100527
mathematics statistics computer science,c100528
pgdca/ 1st year 3rd year course,c100529
soware,c100530
bsccs,c100531
computer programme,c100532
bachelor computer sicence,c100533
animation and multimedia,c100534
electronics and communication integrated,c100535
soengineering,c100536
bscmpcs,c100537
computer application and information technology,c100538
bcs,c100539
mscit lateral,c100540
nt and m,c100541
computer science aided,c100542
lateral computer science,c100543
emcs,c100544
hsse,c100545
bscmp em,c100546
web technology,c100547
dchmnt windows 2003 server with credits distance education,c100548
soware technology,c100549
information systems,c100550
big data analytics,c100551
mscin computer science,c100552
computer science information technology,c100553
information technology 2,c100554
ne2rking and security,c100555
coputer science,c100556
ne2rking analysis,c100557
soware engineering lateral entry,c100558
computer science engineering,c100559
csc,c100560
mathematics phy computer science,c100561
soware enginering,c100562
office automation,c100563
computer communication,c100564
fundamental pc package fox pro it trends dtp internet web page desine,c100565
/ computer science lateral entry,c100566
information communication technology,c100567
bcm,c100568
rdbms soengineering oprt syst int web pr3,c100569
web design,c100570
mccs,c100571
and msby research cse,c100572
computer science shiii,c100573
mobile technology and applications,c100574
l e,c100575
dchmnt windows 2008 server with credits distance education,c100576
computer sicne,c100577
honours,c100578
pgdt,c100579
bachelor internet and mobile technology,c100580
bzcs,c100581
adv dip computer t60 with credits distance education,c100582
system administration and ne2rking,c100583
data entry operation,c100584
master ofit,c100585
cmputer science,c100586
phdin computer science,c100587
computer science as per syllabus,c100588
bis with credits distance education,c100589
infomation technogy,c100590
r programming,c100591
add on course,c100592
visual communications,c100593
graphics and animation,c100594
computer graphics,c100595
gaming and mobile application development,c100596
msccs lateral emtery january session,c100597
animation technology,c100598
ne2rk technology management,c100599
bzcap,c100600
bis p30 with credits distance education,c100601
physical science,c100602
pgdit,c100603
ne2rking and it,c100604
informatiotechnology,c100605
communication,c100606
m phill,c100607
computer tec,c100608
hardware management,c100609
electronic data proc and machine operation,c100610
bio informatics,c100611
informaton technology,c100612
information technology and management,c100613
plane,c100614
geo informatics,c100615
computer science july session,c100616
adit,c100617
tele communication,c100618
science and information technology,c100619
kannada computer,c100620
pgdcs,c100621
pgdca and dca,c100622
operation research,c100623
animation and vfx,c100624
information technolocy,c100625
image animation flash,c100626
multimedia and animation,c100627
advanced animation,c100628
computer application cop,c100629
soware computer science,c100630
cardiac technology,c100631
computer accounting,c100632
pgdcs as per syllabus,c100633
computer science honours,c100634
information and computer technology,c100635
cosmputer science,c100636
infor tech,c100637
computer science with information technology,c100638
multimedia,c100639
as per university,c100640
computer science agriculture,c100641
computer science january session,c100642
it and comouter,c100643
computer teacher's training,c100644
informatopn technology,c100645
it and m,c100646
science it,c100647
information technology 1,c100648
information tecchnology,c100649
msin computer science,c100650
it honors,c100651
mcs,c100652
informationtechnology,c100653
web servces,c100654
msccs lateral emtery july session,c100655
businessprocess outsourcing,c100656
gujarati,c100657
computer application major,c100658
computer science soware,c100659
geoinformatics,c100660
computer science cbe,c100661
information technollogy,c100662
science lateral entry,c100663
computer systems and designe,c100664
hardweare and ne2rk,c100665
information technology 3,c100666
information technology/ computer application,c100667
information techology,c100668
informationa technology lateral,c100669
computer maintenance,c100670
animation game design and development,c100671
system management,c100672
information technolgy,c100673
photoshop,c100674
bva animation and multimedia,c100675
animation and visual effects,c100676
digital marketing,c100677
information management system,c100678
flash,c100679
web designing/multimedia/animation,c100680
clis,c100681
information science,c100682
multimedia and web tech,c100683
soware computer,c100684
computer hardware and techno admin,c100685
dcm,c100686
multi media,c100687
film and television,c100688
information system management,c100689
iformation tecnology,c100690
excel data analysis and management system,c100691
automation and internet tech,c100692
it subjects,c100693
geomatics,c100694
tybscit,c100695
webdesign,c100696
visual comminucation,c100697
web desinging,c100698
mga with credits distance education,c100699
information technoloy,c100700
e commerce,c100701
media and communication,c100702
electronic media,c100703
advanced web desining,c100704
fybscit,c100705
computer graphics and web technology,c100706
multimedia animation,c100707
data entry and processing,c100708
computer and information science,c100709
multimedia technology,c100710
information security,c100711
dtp and printing technology,c100712
dit,c100713
2y it and computer engineering,c100714
digital animation and visual effects,c100715
b voc web,c100716
bioinformatics,c100717
information technologyh,c100718
multimedia system,c100719
information system,c100720
computer studies,c100721
information technology as per syllabus,c100722
2/3 wheeler repairing and maintenance,c100723
anthoroppology,c100724
zoology,c100725
psychology,c100726
environmental and life science,c100727
physics,c100728
sericulture,c100729
microbiology,c100730
gardning and interior decoration,c100731
mat,c100732
horticulture,c100733
applied mathematics and computer science,c100734
medical lab technician,c100735
and env science,c100736
museology,c100737
ophthalmology,c100738
mlt,c100739
applied mathematics,c100740
mathematics v57 with credits,c100741
micro biology,c100742
life science,c100743
applications mathematics,c100744
botany,c100745
farm forestry,c100746
biotechnology,c100747
applied biology,c100748
medical statistics,c100749
food science and technology,c100750
forensic science,c100751
yoga science,c100752
integrated math,c100753
regenerative medicine,c100754
marine biology,c100755
zoology h and p,c100756
/ /solid state technology,c100757
bio technology,c100758
environment science,c100759
fellowship cleand carniofacial surgery,c100760
marine science,c100761
food safety and quality assurance food industry,c100762
mathematics with computer science,c100763
nursing,c100764
molecular biology,c100765
paediatrics,c100766
food science and nutrition,c100767
forensic medicine,c100768
food technology,c100769
virology,c100770
ashtang yoga,c100771
jewellary design,c100772
medical lab technology,c100773
msby research,c100774
dna,c100775
yoga,c100776
applied,c100777
physiology,c100778
home science,c100779
mathematics science,c100780
clinical nutrition and dietetics,c100781
anaesthesia,c100782
mathematics honours,c100783
medicinal plants,c100784
mathematics cbe,c100785
fishery science,c100786
marine biotechnology,c100787
mathematics blr,c100788
medical laboratory technology,c100789
clinical biochemistry,c100790
geography,c100791
dairy science,c100792
diary science,c100793
minor elective mathematics,c100794
cellulose and paper technology,c100795
and materials science,c100796
neuroscience,c100797
mathematics hons 5 year,c100798
mathematics and actuarial science,c100799
forestry,c100800
previous,c100801
cellular and molecular diagnostics,c100802
pharmacy,c100803
agriculture,c100804
animal biotechnology,c100805
fisheries,c100806
applied psychology,c100807
foods and nutrition,c100808
forestry and wildlife,c100809
animal science,c100810
anthropology,c100811
mathematics integrated,c100812
master mathematics education,c100813
pharma,c100814
phy,c100815
clinical nutrition,c100816
biology,c100817
botony,c100818
plant biology and plant biotechnology,c100819
indian dietetics and food science,c100820
nutrition,c100821
wildlife biology,c100822
public health entomology,c100823
geology,c100824
molecular biology and human genetics,c100825
environmental science,c100826
food and nutritional science,c100827
general surgery,c100828
entomology,c100829
molecular virology,c100830
cosmetic science,c100831
medical genetics and molecular diagnostics,c100832
beautician,c100833
biochemistry,c100834
human biology,c100835
nano science and technology,c100836
advanced bioinformatics,c100837
biostatistics,c100838
medical imaging technology,c100839
post basic nursing,c100840
rural technology,c100841
thesis title,c100842
biochemistry and molecular biology,c100843
biosciences and biomedical engineering,c100844
jaiv vividhta sanrakshan evam prabhandhan,c100845
wildlife science,c100846
applied math,c100847
tb and chest diseases,c100848
evs,c100849
human physiology,c100850
basic science,c100851
paryawaran prabandhan,c100852
biological science,c100853
food science,c100854
cys,c100855
pollution control,c100856
plant science,c100857
applied animal science,c100858
marinebiology,c100859
evolutionary science,c100860
medical,c100861
mobile ph1 servicing,c100862
herbal technology,c100863
data analytics,c100864
statistics,c100865
mathematics and statistics,c100866
science mathematics,c100867
/ mathematics/applied and computer mathematics,c100868
radiodiagnosis,c100869
tissue culture,c100870
matahmatics,c100871
engineering mathematics,c100872
marhematics,c100873
matematics,c100874
organic,c100875
botany zoology,c100876
pmcs,c100877
applied microbiology,c100878
biomedical,c100879
honours p viii theory,c100880
bachelaor odf science,c100881
herbal medicine,c100882
community medicine,c100883
applied science,c100884
mathematics hons,c100885
interdiscipline,c100886
disciplinediscipline,c100887
zoology external,c100888
mathematics and science computer,c100889
actuarial science,c100890
mticsataemh,c100891
mathematics ,c100892
mathematics/ applied mathematics,c100893
mathematics external,c100894
mathematics day,c100895
hons mathematics,c100896
amc,c100897
civil engineering electrical engineering machenical engineering prod electronics engineering computer science and engineering,c100898
advance operation research,c100899
fellowship micro ear surgery,c100900
mathematics supplementary shi,c100901
molecular techniques,c100902
enviornmental science,c100903
micro/biotech,c100904
mathematics education,c100905
m phil,c100906
mathematics and cs,c100907
mathematics and statsistics,c100908
mathematics ncw,c100909
rias mathematics,c100910
plant biology and biotechnology,c100911
maph,c100912
ent,c100913
major elective pi mathematics,c100914
mathematics part time,c100915
pure mathematics,c100916
integrated mathematics,c100917
mathematics interdisciplinary,c100918
speed and smart arithmatic,c100919
mathematics ca,c100920
radiotherapy,c100921
geololgy,c100922
phdof mathematics,c100923
mathematics em,c100924
/ mathematics,c100925
mathematics h and p,c100926
mathematics evening,c100927
operations research,c100928
bs mathematics science,c100929
master mathematics,c100930
mathematics and computer 5y,c100931
mates,c100932
mathematics 2yr,c100933
mathematics research engineering and technology,c100934
mathematics pt,c100935
chemistry,c100936
analytical,c100937
chemical science,c100938
chemestry,c100939
medical biotechnology,c100940
honours piv theory,c100941
pharmacology,c100942
chem,c100943
chemsitry,c100944
renal science and dialysis technology,c100945
fellowship neonatology,c100946
analytical chemistruy,c100947
tissue engineering and regenerative medicine,c100948
radiology,c100949
bio,c100950
physical,c100951
industrial,c100952
industrial fish and fishery science,c100953
health science,c100954
integrated pharmaceutical,c100955
allied health science,c100956
pharmaceutical,c100957
msto switch over,c100958
analytical industrial medicinal,c100959
biomedical technology,c100960
integrated bscmsc,c100961
organic em,c100962
chemistery,c100963
molecular biology and genetics,c100964
wood science and technolovy,c100965
mp science,c100966
clinical research,c100967
biochemisty,c100968
prin ting technology,c100969
cognitive neuro science,c100970
fellowship non invasive cardiology,c100971
medicinal,c100972
anatomy,c100973
echocardiography,c100974
org,c100975
molecular biology and bio technology,c100976
general medicine,c100977
wildlife and management,c100978
c and p cppri science,c100979
advanced stem cells and reg medicine,c100980
m phil regenrative medicine,c100981
molecular microbiology,c100982
hotel management and catering science,c100983
org che,c100984
counselling psychology,c100985
leather designing,c100986
mrd,c100987
chemisty,c100988
pathology,c100989
food and nutrition,c100990
hons science,c100991
food and drug safety,c100992
merine biotechnology,c100993
natural products,c100994
organic medicine,c100995
intergreted,c100996
pharma organic,c100997
polymer,c100998
in organic,c100999
organic chenistry,c101000
botny zoology math,c101001
applied chemestry,c101002
chemistri,c101003
mathematics as per syllabus,c101004
organic chemestry,c101005
org chem,c101006
chemisrty,c101007
nuclear nuclear,c101008
mthe,c101009
inorganic,c101010
theoretical science,c101011
che,c101012
mthemathics,c101013
organicchemsitry,c101014
meths,c101015
pcm,c101016
phy che math zoo,c101017
honours pi theory,c101018
mtmh,c101019
nathematics,c101020
mscic,c101021
chemstiry,c101022
applicable mathematics,c101023
mscac,c101024
applied / pure mathematics,c101025
bio analytical,c101026
industrial chem,c101027
hindi,c101028
integrated bscmsc mathematics,c101029
chemstry,c101030
master,c101031
maug,c101032
phdin mathematics,c101033
major elective pi,c101034
computer math,c101035
pesticide and agrochemicals,c101036
analy,c101037
orthopaedics,c101038
by research inorganic,c101039
chamestry,c101040
environmental,c101041
honours pv theory,c101042
materials science,c101043
chemistyry,c101044
orgnanic,c101045
honours pii theory,c101046
chemoinformatics,c101047
pharmaceutical chemsity,c101048
pharamaceutical chemstry,c101049
organic/analytical,c101050
chemistr,c101051
h and p,c101052
pharm,c101053
business economics,c101054
applied statistics,c101055
applied statistics and informatics,c101056
sat,c101057
statisitcs,c101058
mstcs,c101059
statistics 5 year integrated course,c101060
population studies,c101061
pgdass,c101062
statistics and computer,c101063
hospitality studies,c101064
statistics external,c101065
mathematics and information science,c101066
csm sub,c101067
statistics qr and or,c101068
statistics mathematics and computer application,c101069
stats,c101070
total quality management,c101071
statistic,c101072
theoratical,c101073
mscin statistics,c101074
clinical psychology,c101075
military science,c101076
statistical methods and its applications,c101077
statistics/or,c101078
operation research and statistics,c101079
stastics,c101080
mathematics by research,c101081
statistics supplementary shi,c101082
computer science and statistics,c101083
or and sqc,c101084
actuarial statistics,c101085
final,c101086
statistics and informatics,c101087
staistics,c101088
geography science,c101089
computer application statistics,c101090
physecs,c101091
statistics and computer science,c101092
aquatic biology,c101093
molecular science and eng,c101094
computer statistics,c101095
statistical and research methods,c101096
statistics with computer application,c101097
herbal science,c101098
industrial mathematics,c101099
microbiology external,c101100
advanced materials,c101101
mobile technology,c101102
instrumentation,c101103
applied electronics,c101104
mp che,c101105
and astrophysics,c101106
radiological,c101107
nanoscience and technology,c101108
physcal science,c101109
psysics,c101110
/app electronics,c101111
honours p vii theory,c101112
pure,c101113
applied and ballistics,c101114
material science,c101115
electronic and instrumentation,c101116
and electronics,c101117
with electronics,c101118
electronics and instrumentation,c101119
matmatics,c101120
applied solid state optoelectronic nuclear and technology,c101121
every day mathematics,c101122
pure and applied,c101123
and materials science and engineering,c101124
and mathematics,c101125
mahematics,c101126
physiscs,c101127
phyiscs,c101128
m phil mathematics,c101129
2yr,c101130
mathematics botany zoology,c101131
science microbiology,c101132
physcis,c101133
phyics,c101134
phycics,c101135
pho,c101136
renewable energy,c101137
course computer programming,c101138
biophysics,c101139
phdin,c101140
eng odia/telugu phy chem math zool bio tech,c101141
applied physicss,c101142
phug,c101143
astronomy space,c101144
course computer hardware,c101145
bio technology with credits distance education,c101146
pysics,c101147
embedded system,c101148
diphu campus,c101149
mzc,c101150
high energy,c101151
nuclear,c101152
science industrial microbiology and zoology,c101153
phdof,c101154
condensed matter,c101155
biotech,c101156
non conventional energy,c101157
honours pvi theory,c101158
space,c101159
post radiological,c101160
chemical and mathematics science,c101161
blr,c101162
bmc,c101163
solar energy,c101164
phph,c101165
space science,c101166
engineering and instrumentation,c101167
high energy and cosmic ray,c101168
advance science interfacing,c101169
laser applications biology and medicine,c101170
physice,c101171
and 3sc,c101172
nuclear science tech,c101173
physices,c101174
multi disciplinary,c101175
part time,c101176
physic,c101177
photonics,c101178
lab technology physical and chemical,c101179
phisics,c101180
supplementary shi,c101181
energy studies,c101182
nono technology,c101183
external,c101184
nanotechnology,c101185
earth and space science,c101186
pure science,c101187
seed technology,c101188
"specialization ""electronics""""",c101189
zoo,c101190
zology,c101191
zoology part time,c101192
life science biochemistry,c101193
zoology supplementary shi,c101194
zoollogy,c101195
zool,c101196
statistics with computer application integrated integrated,c101197
quantitative finance,c101198
statistics or,c101199
statistics with ca,c101200
operations research and computer application,c101201
zoology integrated,c101202
statistical methods and analysis,c101203
bioinformatics part time,c101204
pgdstc,c101205
human systems and clinical,c101206
zoology honours p viii theory,c101207
anthroplogy,c101208
zoolgy,c101209
biotechnology zoology,c101210
zoolology,c101211
phdof zoology,c101212
common,c101213
bio science,c101214
microbiology integrated,c101215
radiation,c101216
astronomy,c101217
environmental biotechnology,c101218
animal biotechonology,c101219
aqua culture,c101220
applied zoology,c101221
honours p iii theory,c101222
m phil zoology,c101223
ento,c101224
nano science nano tech,c101225
bzc,c101226
bio medical science,c101227
integrative biology,c101228
animal science zoology,c101229
aquaculture,c101230
zoology honours p iii theory,c101231
zoolagy,c101232
zoology honours piv theory,c101233
integrated bscmsc zoology,c101234
marine living resources,c101235
food and nutition,c101236
computer biology,c101237
nutrition and dietetics,c101238
emergency medicine,c101239
obst and gynaecology,c101240
