,discipline,discipline_clean
1830,Computer Scienec,computer science
1832,"FOC,C,PC,DE,DBMS,DATA STRUCTURE,.NET,C++,C,DTP",foc cpcde dbms data structure net c and and c dtp
1833,ALL,computer application
1836,Computer Science and  Application,computer science and application
1844,"Digital electronics,pc software,computer programming,computer architecture and systems,graphics and internet,DBMS,statics,numerical methods&algorithms,unix and shell programming,windows programming,multimedia and e-commerce",digital electronics pc soware computer programming computer architecture and systems graphics and internet dbms statics numerical methods and algorithms unix and shell programming windows programming multimedia and e commerce
1849,all sub,sub
1851,COMP. SC.,computer science
1860,IT Computer,it computer
1861,32,computer application
1864,12,computer application
1877,IT&COMP,it and computer
1887,Computer related Subjects,computer related subjects
1891,MSc(cs)LE,cs lateral entry
1901,English,english
1907,Bachelors of  Computer Application,bachelors computer application
1911,120,computer application
1949,sCIENCE3,science
1950,IT&Comp,it and computer
1964,(Hons in Computer Application),hons computer application
1965,MPCS,mpcs
1966,BACHELOR OF COMPUTER APPLICATIONS,computer application
1967,Applications,applications
1969,M.Sc (CS),computer application
1973,ALL COMPULSORY SUBJECT,computer subject
1976,Computer Aoolication,computer aoolication
1984,AS BCA SYLLABUS,as syllabus
1987,plain,plain
1988,All Computer Subjects,computer subjects
1995,ICT,ict
1997,DCA,dca
2007,Computer Science & Application,computer science and application
2009,"COMPUTER, PHYSCIS, MATHS, HINDI & ENGLISH",computer physcis mathematics hindi and english
2010,cComputer Application,c computer application
2019,ANY,computer application
2020,GEN,gen
2022,pgdca,pgdca
2028,Batchler of Computer,batchler computer
2056,IT & Comp,it and computer
2057,computerapplication,computer
2059,Post Graduate Diploma in Computer Application,computer application
2066,Diploma Computer Application,computer application
2079,Networking,ne2rking
2081,Educational Information Technology,educational information technology
2106,Vocational,vocational
2113,MSC CS,computer application
2116,All Compulsory,computer
2119,computer(BCA),computer
2121,pgdca jan,pgdca jan
2122,ALL SUBJECT,subject
2135,4,computer application
2140,Computer Sci,computer science
2161,comp.s,computer s
2172,COMPUTRE SCIENCE,computer science
2189,IT & COMPUTER,it and computer
2193,"IT, COMPUTERS",it computer
2195,Software Engineering,soware engineering
2197,COMPUTER APLLICATION,computer apllication
2203,COMPUTER SUBJECTS,computer subjects
2210,Plain,plain
2211,diploma in computer application,computer application
2219,GENERAL SUBJECTS,general subjects
2223,MSc CS LE,csle
2225,DIPLOMA IN COMPUTER APPLICATION,computer application
2231,10+2,10 and 2
2232,SAURASHTRA UNIVERSITY,saurashtra university
2234,COMPUTERSCIENCE,computer
2242,BACHELOR OF COMPUTER APPLICATION,computer application
2249,Add on Course Web  Designing,add on course web designing
2250,CAPP,capp
2251,Information Technology  (lateral Entry),information technology lateral entry
2280,IT&COMPUTER,it and computer
2282,Computer Applicatin,computer application
2293,Computer Application (Shift II),computer application shiii
2312,Bachelor of Computer Applications,computer application
2313,Compuer,computer
2315,All PGDCA Sub,pgdca sub
2318,"fundamental,pc package,ms access,it trends, dtp,internet webpage design",fundamental pc package access it trends dtp internet webpage design
2326,COMPUTER  APPLICATIONS APPLICATINNS,computer application applicatinns
2333,01,computer application
2345,MSC- Comput.SC(P.G. Course,computer science g course
2346,PC Application,pc application
2353,SCIECNE,science
2371,D.C.A.,dca
2375,Diploma in Computer Application,computer application
2384,Software Developement,soware developement
2395,Post Graduate Diploma In Computer Application,computer application
2398,PG Diploma,computer application
2400,bca,computer application
2402,IT&Computer,it and computer
2403,COPMUTER,copmuter
2404,ALL COMPULSORY PAPER,computer paper
2414,ComputerApplication,computer
2417,B.C.A,computer application
2425,Bachelor of Science (Information Technology),information technology
2435,B.C.A (Old) (with Credits) - Distance Education,old with credits distance education
2446,Principal Of Management,principal management
2456,coputer,coputer
2460,Becholer of computer application,becholer computer application
2466,Eng & Tec,eng and tec
2478,sciece,science
2489,Non Medical,non medical
2495,All IT Sub,it sub
2515,Diploma In Computer  Application,computer application
2522,B C A,computer application
2523,PGDCS&A,pgdcs and a
2537,cs,computer application
2545,SAURASHTRA,saurashtra
2552,Computer Science & IT,computer science and it
2558,Any Discipline 12TH,discipline 12th
2560,"C Language, DBMS,   Networking , PC-I, Photoshop, Visual Basic , Fundamental .etc",c language dbms ne2rking pci photoshop visual basic fundamental etc
2563,Com. application,computer application
2568,compute appplications,computer application
2571,COMPUTER SCIENCE AND ENGINEERING,computer science and engineering
2574,PGDTM,pgdtm
2580,COPUTER,coputer
2584,COMPUTERS (BP),computer
2586,PGDCA-JUL,pgdca jul
2606,Computer App,computer application
2627,CA & IT,ca and it
2630,POST GRADUATE DIPLOMA IN COMPUTER APPLICATIONS,computer application
2647,COMPUTER APLLICATIONS,computer apllications
2649,Animation,animation
2654,"fundamental,pc pacakge,english,social science,digital,dbms,advance c,dtp,hindi,ds,oracle,c++,math,english,tally,ip,os,java,sc,sc2,php,linux,e-commerce",fundamental pc pacakge english social science digital dbms advance c dtp hindi ds oracle c and and math english tally ipos java science science php linux e commerce
2672,POST GRADUATE DIPLOMA IN COMPUTER APPLICATION,computer application
2682,BCCA,bcca
2685,dca,dca
2690,IT & Computer Application,it and computer application
2700,Diploma in Computer Applications,computer application
2702,MSC COMP,computer
2703,POST GRADUATE DIPLOMA IN COMPUTER IN COMPUTER APPLICATION,computer computer application
2704,COMPUTERS SCIENCE,computer science
2705,SCI,science
2706,COMPUTER  APPLICAITONS,computer application
2707,PGDCA-JAN,pgdca jan
2714,pgdca july,pgdca july
2716,POST GRADUATE DIPLOMA IN COMPUTER  APPLICATION,computer application
2719,Computer Applications(2Divisions-60 each),computer application 60 each
2733,computer Application,computer application
2737,3,computer application
2741,PG DIPLOMA,computer application
2760,P.G.D.C.A,pgdca
2772,computer app,computer application
2773,IT& Computer application,it and computer application
2787,BCA (LKO),computer application
2814,Comp. Appl,computer application
2827,DCA-JUL,dca jul
2851,Computer Aflication,computer aflication
2858,Arts,arts
2860,all compulsary,computer
2874,MSc(CS),computer application
2877,Compter appln,computer application
2883,P.G.Diploma in Computer Application,computer application
2887,all subject,subject
2895,computar,computer
2921,T & Computer,it and computer
2922,it,computer application
2923,DIPLOMA IN COMPTER APPLICATION,computer application
2927,Bachelor of computer Application,computer application
2942,I T,computer application
2944,MSc (CS) LE,cs lateral entry
2956,It & computer,it and computer
2962,POST GRADUATION IN COMPUTER APPLICATION,post graduation computer application
2975,DCA/PGDCA,dca/pgdca
2977,All compalsary,computer
2983,MSc(cs)BP,computer application
2998,CPMPUTER,cpmputer
3002,Computer Applicaton - Sift II,computer application siii
3012,COMPUTER APPLICATION (PGDCA),computer application pgdca
3013,MPC,mpc
3017,Computer Subject,computer subject
3022,I.T,computer application
3028,Comp. App,computer application
3046,Computer & IT,computer and it
3054,IT& COMP.,it and computer
3058,PGDCA (Comp. Appl.),pgdca computer application
3060,MATHS,mathematics
3063,COMPUTER     SCIENCE,computer science
3076,Comp.Sci.,computer science
3077,tecnical,tecnical
3094,Cyber Security,cyber security
3108,b. c. a.,computer application
3127,Computer Engg,computer engineering
3142,Computer SAcience,computer sacience
3163,MSc In Computer Science,computer science
3169,COMPUTER SCI,computer science
3189,MA,computer application
3213,Computer & Application,computer and application
3218,"BCA-101-104,BM-101,BCA 193-194,201-203,HU201,HU291,BCA293,BCA-301-303,BM301,BBA301,BCA392-393,401-403,BM401,HU401,BCA491,BM491,BCA 501-503,BCA E501A/B/C,HU501,BCA591-593,E601 A/B/C,E602 A/B/C,BCA693-695",101 104 bm 101 193 194 201 203 hu201 hu291 bca293 301 303 bm301 bba301 bca392 393 401 403 bm401 hu401 bca491 bm491 501 503 e501a/b/c hu501 bca591 593 e601 a/b/c e602 a/b/c bca693 695
3220,PLAIN,plain
3237,COMP APP/SCIENCE,computer application science
3242,computer  application,computer application
3244,all subjects,subjects
3251,Computre Science,computer science
3268,T& Computer,it and computer
3279,"COMPUTER FUNDAMENTALS, PC PACKAGE,FOXPRO/MS-ACCESS,IT TRENDS AND TECHNOLOGY,INTERNET & WEBPAGE DESIGN, DTP/CORELDRAW",computer fundamentals pc package foxpro/ access it trends and technology internet and webpage design dtp/coreldraw
3286,B.Tech CS & MS by Research CL,cs and msby research cl
3287,IT LATERAL  ENTRY,it lateral entry
3289,CS&IT,cs and it
3294,clerk,clerk
3300,COMPUTORS,computer
3306,Computer Education,computer education
3307,PG DIPLOMA IN COMPUTER APPLICATION,computer application
3315,B.Tech and MS by Research in ECE,and msby research ece
3338,Computer Science and application,computer science and application
3340,P.G.D.C.A.,pgdca
3347,Degree,degree
3358,BCA46,bca46
3362,ALL PGDCA,pgdca
3395,Couputer,couputer
3401,5,computer application
3405,COMPUTER SC.,computer science
3406,Information Technology (LE),information technology lateral entry
3414,POST GRADUATE DIPLOMA IN COMPUTER ALLPICATION,computer allpication
3432,Compulsory Subjects,computer subjects
3444,PGDCSA,pgdcsa
3460,1,computer application
3465,COM APP,computer application
3471,Msc(cs),computer application
3474,Msc(LE)cs,cs lateral entry
3479,B.Tech CS & MS by Research in Exact Humanities,cs and msby research exact humanities
3484,B.Tech in CS & MS by Research in CNS,incs and msby research cns
3485,managment,managment
3488,b.sc. capp,capp
3499,Bacheleor of Computer Appllication,bacheleor computer application
3509,B.Tech in Civil Engg & MS by Research in Building Science & Engineering,civil engineering and msby research building science and engineering
3522,"Computer Applications, Mathematics and Statistics",computer application mathematics and statistics
3530,All compulsari subject,computer subject
3532,It,computer application
3541,Computer Application (Evening),computer application evening
3548,IT AND COMPUTER SCINCE,it and computer science
3560,MSC(CS),computer application
3561,it & comp,it and computer
3581,dca jan,dca jan
3598,MGT Science,mgt science
3606,computer`,computer
3620,Kannada,kannada
3646,"it,c,coa,math,operating system.",itc coa math operating system
3659,post graduate diplomai in computer application,post graduate diplomai computer application
3670,COMPUTER APPPLICATION,computer application
3682,prescribed syllabus of university,prescribed syllabus university
3705,Computer Fundamental,computer fundamental
3719,COMPUTER APPLICATIONplication,computer application
3720,Computer Appliaction,computer application
3721,computersub,computer
3762,COMPUTER APPLICTAION,computer application
3764,Computer Hardware & Networking,computer hardware and ne2rking
3769,PG-DCA,pg dca
3770,information technology,information technology
3775,Computer Hardware,computer hardware
3787,Computer Applicatio,computer application
3789,All BCA Sub,sub
3794,Any Discipline graduation,discipline graduation
3796,any,computer application
3799,Analytics & Big Data,analytics and big data
3802,SAU UNI,sau uni
3811,COMUTER,comuter
3812,COMP.AD.,computer ad
3824,M.SC.,computer application
3846,MSc (CS),computer application
3851,Doctor of Philosophy in Computer Applications,computer application
3859,Computer Allication,computer allication
3885,Computer Applcation,computer application
3919,computer aplication,computer aplication
3927,MSc. IT,computer application
3936,WebDesigning,webdesigning
3939,"MATH,C LANGUAGE , FUNFAMANTEL, C++ , DIGITAL,ENVIRMENT,COMMUNICATION",math c language funfamantel c and and digital envirment communication
3944,Mangement,mangement
3955,MAGANEBT SICEB,maganebt siceb
3958,all,computer application
3963,maintain,maintain
3989,PGDCHN,pgdchn
3995,"Computer Application, Maths, Physics",computer application mathematics
3996,COMPUTER SCIENCE & APPLICATION,computer science and application
4000,C & GRAPHICS,c and graphics
4012,1. Fundamental 2. PC Package 3. Operating System 4. FoxPro 5. VB.Net 6. C++ 7. SAD 8. Internet E commerce,1 fundamental 2pc package 3 operating system 4 foxpro 5vb net 6 c and and 7 sad 8 internet e commerce
4023,IT& computer,it and computer
4035,B.C.A -I,bcai
4048,It & Computer,it and computer
4053,MSCS,mscs
4088,COMPUTERI,computer
4094,BCA(Hons),hons
4114,"fundamental ,pc package,oprating system,fox-pro,sad,vb.net,c++,internet e commerce",fundamental pc package oprating system fox pro sad vb net c and and internet e commerce
4118,IT&COMPUTING,it and computer
4121,BCA(H),computer application
4129,"DCA,PGDCA",dca pgdca
4130,TECHNICAL,technical
4141,B.C.A -III,iii
4145,PGDCA- JAN,pgdca jan
4146,SYSTEM ANALYSIST,system analysist
4164,AS PER SYLLABUS,as per syllabus
4167,COMPUTER COURSE,computer course
4175,Add on Course in Computer Application,add on course computer application
4178,Computer Application with Accountancy,computer application with accountancy
4182,Computer Applications additional,computer application additional
4188,APGDCA,apgdca
4194,nan,computer application
4196,Computer-Aided Accounting,computer aided accounting
4204,post graduation  diploma in  computer application,post graduation computer application
4207,YES,yes
4212,B.Sc. IT,bscit
4225,Webdesigning,webdesigning
4279,P.G.D.CA,pgdca
4282,ALL SUB,sub
4287,Comp.,computer
4288,Computer Application  Lateral Entry,computer application lateral entry
4335,BACHELOR OF  COMPUTER    APPLICATION,computer application
4338,DAY,day
4351,IT COMPUTER,it computer
4356,Bachelor of Computer Applicaiton,computer application
4362,POSTGRADUAT DIPLOMA IN COMPUTER APPLICATION,postgraduat computer application
4389,C.A,computer application
4392,compter,computer
4403,APPLICATION,application
4406,All Subject,subject
4411,Mgt,mgt
4412,Compulsory Basic Computer Application Education For All,computer basic computer application education for
4418,it & computer,it and computer
4427,"FUNDAMATEL, C++,  OPERATING SYSTEM, COMMUNICATION,",fundamatel c and and operating system communication
4429,Bachelor of Computer Application (BCA),computer application
4430,B.Sc(IT),b science
4432,Accounts,accounts
4436,CCA,cca
4441,BCA IT,computer application
4453,computerion applicat,computer application
4459,Computerr Application,computer application
4468,Comp. S.,computer s
4477,Computer Science and Computer applications,computer science and computer application
4497,Compute Application,computer application
4514,06,computer application
4524,computee Application,computer application
4555,Comp Sci,computer science
4560,SELF FINANCING,self financing
4562,Maintenance and Repairing of Audio Video Equipments,maintenance and repairing audio video equipments
4575,POST GRADUATION DIPLOMA IN COMPUTER APPLICATION,post graduation computer application
4576,Computer Sciecne,computer science
4579,COMP.SC,computer science
4581,Management Science,management science
4621,"COMPUTER FUNDAMENTALS,OPERATING SYSTEM,PC PACKAGE,FOXPRO/MS-ACESS, SYSTEM ANALYSIS & DESIGN, DOTNET(VISUAL BASIC), INTERNET & ECOMMERCE,C++/FINANCIAL ACCOUNTING(TALLY)",computer fundamentals operating system pc package foxpro/ acess system analysis and design dotnet visual basic internet and ecommerce c and and /financial accounting tally
4629,M.Sc. (CS) LE,cs lateral entry
4644,COMPUTE,computer
4652,Electrical House Wiring,electrical house wiring
4654,3 years,3 years
4656,Science Computer Applications,science computer application
4663,Graduate,graduate
4665,BACHELOR  OF COMPUTER APPLICATION,computer application
4667,Computer Fundamentals & Internet Applications,computer fundamentals and internet applications
4684,ARTS,arts
4685,Repair and Maintenance of Refrigerator and Air Conditioner,repair and maintenance refrigerator and air conditi1r
4702,COMP. SCI,computer science
4711,OR&CA,or and ca
4712,Automation & Multimedia Tech,automation and multimedia tech
4715,REGULAR,computer application
4716,COM. SCIENCE,com science
4724,Graphic Designing,graphic designing
4759,IT& Computer,it and computer
4766,"MATHS, PHYSCIS, Cs",mathematics physcis cs
4769,Information technology,information technology
4771,Master of Science (Information Technology),information technology
4785,Desktop Publishing,desktop publishing
4788,Computer Science and Applicaions,computer science and applicaions
4790,POST GRADUATION  DIPLOMA IN COMPUTER APPLICATION,post graduation computer application
4794,computapplicationer,computer
4798,7,computer application
4803,Maintenance and Repairing of Electronic Domestic Apliances,maintenance and repairing electronic domestic apliances
4806,COMP,computer
4808,Compute Science,computer science
4839,couse,couse
4860,IT& COMPUTER,it and computer
4873,Certificate,computer application
4894,DCA (Language Technology),dca language technology
4902,Software Testing,soware testing
4916,C.S.,computer application
4917,Business & Technical Communication/Principles & Practice of Accounting/GNU/Linux Lab*,business and technical communication/principles and practice accounting/gnu/linux lab*
4931,Welding and Cutting,welding and cutting
4943,ComputerApplications,computer
4950,Proffesional,proffesional
4955,Post graduate     Diploma in computer Application,computer application
4971,SOFTWARE TESTING,soware testing
4975,E & CM,e and cm
4976,Compuer Application,computer application
4986,COMPUTER SCINCE,computer science
4987,"FOC, C, C++, OS, DBMS, Networking, Info. System, Know.Mgmt",foc c c and and os dbms ne2rking info system know management
4994,Computer & Management,computer and management
5003,post graduation in computer application,post graduation computer application
5006,"Computer fundamental, Principals of Mangmnt, Business communication, Principals of Programming , Language -C, Maths",computer fundamental principals mangmnt business communication principals programming language c mathematics
5012,Computer Networking,computer ne2rking
5014,ALLSUBJECT,allsubject
5019,COMPULASRY,computer
5021,Computer Networks,computer ne2rks
5036,COMPUTE SCIENCE,computer science
5046,Comp Appl,computer application
5047,POST GRADUATION DIPLOMA IN COMPUTER APPLICATIONComputer,post graduation computer application
5048,Bacholor of.Com.Application,bacholor computer application
5056,COMP. SCI.,computer science
5059,B.C.A. syllabus,syllabus
5060,COMP.SC.,computer science
5071,All Graduate,graduate
5087,"Digital Electronics,C Language,Maths, BSAppl, PC S/W, VB, VB.net, SQL, Eng, C++, Graphuics and Internet , O/S etc",digital electronics c language mathematics bsappl pc s/w vbvb net sql eng c and and graphuics and internet o/s etc
5105,Diploma,computer application
5106,It Computer,it computer
5107,Computer Program,computer program
5114,Ecommerce,ecommerce
5115,Photo Designing,photo designing
5151,Science Computer Application,science computer application
5159,Hardware & Maintenance,hardware and maintenance
5163,"IT, C Lang, Basic Maths, Business Comm, P.C. Software, DE, BBMS,Web Tech-I, BOM, OS, SE, Web Tech-II, Visual Basic, Internet & E.COM",itc lang basic mathematics business comm pc soware de bbms web tech i bom osse web tech ii visual basic internet and e com
5168,Mobile phone repairing,mobile ph1 repairing
5172,COMUTER SCIENCES,comuter science
5174,application,application
5204,COMPUTER APPLN,computer application
5230,DCA-JULY,dca july
5238,IT & Eommerce,it and eommerce
5242,Compuer Applications,computer application
5244,Comp. Sci.,computer science
5255,PROF.,prof
5262,Special,special
5272,SURASHTRA,surashtra
5276,Maths with Computer Applications,mathematics with computer application
5283,AS PER UNIVERSITY SYLLABUS,as per university syllabus
5286,B. C.A. + B.C.A. (H),computer application
5297,Commputer Science,commputer science
5304,COMPUATER,computer
5326,it&computer,it and computer
5334,COMPUTER SCI.,computer science
5347,B.Sc. COMPUTER SCIENCE,computer science
5353,"fundamental,pc package,comunicative english,programing,social science i, digital electronics, dbms, advanced c, dtp, c hindi, ds, dbms and oracle, c++, mathmetics c english  ii, cn, sad, vb.net, ip, tally, os, c++,java, sc , soc ii,php,linux e-commerce",fundamental pc package comunicative english programing social science i digital electronics dbms advanced c dtp c hindi ds dbms and oracle c and and mathematics c english iicn sad vb net ip tally os c and and java science soc ii php linux e commerce
5357,Desk Top Publishing,desk top publishing
5363,comupter,comupter
